common_name,latin_name,forms,best preparation,uses,availability_score,cost_score,popularity_score,toxicity_flag,toxicity_level,toxicity_notes,
White Willow Bark,Salix alba,dried, tincture,headache; pain; topical pain,0.6,0.5,0.7,0,low,Avoid with aspirin allergy or bleeding disorders,
Peppermint,Mentha x piperita,dried, tea,headache; indigestion,0.9,0.2,0.9,0,low,May aggravate reflux in some people,
Chamomile,Matricaria chamomilla,dried, tea,anxiety; insomnia,0.8,0.3,0.85,0,low,Avoid with severe ragweed allergy; May increase bleeding risk at high doses,low
Ginger,Zingiber officinale,fresh root, dried powder,nausea; indigestion; cold,0.95,0.3,0.9,0,low,Use cautiously with thyroid issues,
Lemon Balm,Melissa officinalis,dried, tea,anxiety; insomnia; nervousness,0.7,0.2,0.8,0,low,,
Valerian,Valeriana officinalis,dried, tincture,insomnia; anxiety; headache,0.6,0.4,0.7,0,low,May cause drowsiness;  avoid combining with sedatives,
Lavender,Lavandula angustifolia,dried, essential oil,anxiety; insomnia; headache,0.7,0.3,0.85,0,low,Essential oil can irritate skin if undiluted,
Turmeric,Curcuma longa,fresh; powder, capsules; tea,inflammation;  joint pain; indigestion; pain,0.9,0.3,0.9,0,low,High doses may irritate the stomach or affect gallbladder issues,
Holy Basil (Tulsi),Ocimum tenuiflorum,fresh, dried; tea,stress; anxiety; fatigue,0.5,0.3,0.7,0,low,May affect blood sugar; monitor if on related meds,
Milk Thistle,Silybum marianum,seeds, extract,liver; detox,0.6,0.4,0.75,0,low,Generally well tolerated;  use cautiously with hormone-sensitive conditions,
Dandelion Root,Taraxacum officinale,roasted root, tea,digestion; mild constipation; liver,0.8,0.2,0.7,0,low,Avoid with severe ragweed allergy or bile duct obstruction. ,
Nettle Leaf,Urtica dioica,dried, tea,allergies; joint pain; fatigue; inflammation,0.7,0.2,0.8,0,low,Fresh plant can sting;  dried form is generally safe.,
Licorice Root,Glycyrrhiza glabra,dried root, tea,cough; sore throat; fatigue,0.6,0.3,0.75,1,medium,Long-term or high-dose use may raise blood pressure and affect potassium,
Skullcap,Scutellaria lateriflora,dried, tincture,anxiety; insomnia; nervous tension,0.4,0.4,0.6,0,low,Choose reputable sources;  historical reports of adulteration,
Hawthorn,Crataegus monogyna,berries, leaf; flower,heart palpitations; high blood pressure; anxiety,0.5,0.4,0.65,0,low,May interact with heart medications;  use with professional guidance,
Tarragon,Artemisia dracunculus,dried,leaf,inflammation; digestion; stomach aches; nausea; fever; high blood pressure; pain; antibacterial; anti inflammatory,0.9,0.5,0.7,1,medium,Diuretic; Toxic in high doses; contains estragole which is carcinogenic in high doses,
Rosemary,Salvia rosmarinus,dried; fresh,leaf,pain; digestion; mind,1,0.5,0.9,1,medium,Never ingest essential oil; large amounts can lead to vomiting; should be avoided by pregnant women,
Cayenne Pepper,Capsicum annuum,fresh; dried,fresh,topical pain; digestion; heart; overweight,1,0.3,0.9,0,low,"capsaicin can cause irritation, heartburn, stomach pain, or burning sensation",
Mint,Mentha,fresh; dried,fresh,digestion; IBS; nausea; vomiting; cold; sinus congestion; menstrual cramps; antioxidant,0.8,0.6,0.8,0,low,the pennyroyal version is toxic; can trigger GERDs,
Hibiscus,Hibiscus rosa-sinensis,fresh; dried,fresh,heart; high blood pressure; high cholesterol; antioxidant; inflammation; overweight,0.3,0.3,0.5,0,low,Rose of Sharon is toxic to pets,
Cinnamon,Cinnamomum verum,bark; powder,bark,antioxidant; anti inflammatory; high blood pressure; mind,1,0.3,0.8,0,low,large amounts can cause liver damage,
